EmpID,ProjectID,DateFrom,DateTo
175,1,2002-04-25,2008-07-01
133,16,2001-09-05,2013-04-23
159,11,2008-12-03,2013-09-09
175,16,2012-09-23,2014-05-20
146,18,2019-10-29,2022-12-12
133,11,2000-04-23,NULL
175,11,2022-02-24,2023-07-03
146,1,2001-10-20,2012-06-13
281,18,2004-08-04,2008-02-11
146,12,2012-06-08,2013-02-23
118,1,2005-04-06,2011-05-13
175,11,2020-05-25,2021-09-22
281,18,2008-11-29,2009-08-04
118,1,2018-05-11,2018-12-30
146,12,2016-10-05,2020-07-09
118,1,2018-12-11,2019-05-04
159,16,2017-04-12,2019-08-27
281,12,2001-04-01,2002-04-03
175,1,2013-07-01,2015-07-17
159,18,2003-04-16,2020-01-30
